Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent,space_localized_name,tokenized_name,token_length,Sub_Region
JP,3.0,3,JP-3,高橋,Takahashi,1470000.0,0.0116, 高橋,"['<|begin_of_text|>', 'Ġé«ĺ', 'æ©ĭ']",3,East Asia
KR,3.0,3,KR-3,박,Park,,, 박,"['<|begin_of_text|>', 'Ġë°ķ']",2,East Asia
KR,3.0,3,KR-3,朴,Pak,,, 朴,"['<|begin_of_text|>', 'Ġ', 'æľ', '´']",4,East Asia
CN,4.0,4,CN-4,刘,Liú,72100000.0,, 刘,"['<|begin_of_text|>', 'ĠåĪĺ']",2,East Asia
CN,4.0,4,CN-4,劉,Lau,72100000.0,, 劉,"['<|begin_of_text|>', 'ĠåĬ', 'ī']",3,East Asia
JP,4.0,4,JP-4,田中,Tanaka,1340000.0,0.0106, 田中,"['<|begin_of_text|>', 'ĠçĶ°', 'ä¸Ń']",3,East Asia
KR,4.0,4,KR-4,최,Choi,,, 최,"['<|begin_of_text|>', 'Ġìµľ']",2,East Asia
KR,4.0,4,KR-4,崔,Choe,,, 崔,"['<|begin_of_text|>', 'Ġå', '´', 'Ķ']",4,East Asia
CN,5.0,5,CN-5,陈,Chén,63000000.0,, 陈,"['<|begin_of_text|>', 'ĠéĻĪ']",2,East Asia
CN,5.0,5,CN-5,陳,Chan,63000000.0,, 陳,"['<|begin_of_text|>', 'ĠéĻ³']",2,East Asia
JP,5.0,5,JP-5,渡辺,Watanabe,1200000.0,0.0095, 渡辺,"['<|begin_of_text|>', 'Ġæ¸', '¡', 'è¾º']",4,East Asia
KR,5.0,5,KR-5,정,Jeong,,, 정,"['<|begin_of_text|>', 'Ġìłķ']",2,East Asia
KR,5.0,5,KR-5,鄭,Chung,,, 鄭,"['<|begin_of_text|>', 'ĠéĦ', 'Ń']",3,East Asia
CN,6.0,6,CN-6,杨,Yáng,46200000.0,, 杨,"['<|begin_of_text|>', 'ĠæĿ', '¨']",3,East Asia
CN,6.0,6,CN-6,楊,Yeung,46200000.0,, 楊,"['<|begin_of_text|>', 'Ġæ¥', 'Ĭ']",3,East Asia
JP,6.0,6,JP-6,伊藤,Itō,1150000.0,0.0091, 伊藤,"['<|begin_of_text|>', 'Ġä¼Ĭ', 'èĹ¤']",3,East Asia
KR,6.0,6,KR-6,강,Kang,,, 강,"['<|begin_of_text|>', 'Ġê°ķ']",2,East Asia
KR,6.0,6,KR-6,姜,Gang,,, 姜,"['<|begin_of_text|>', 'Ġå§', 'ľ']",3,East Asia
CN,7.0,7,CN-7,黄,Huáng,33700000.0,, 黄,"['<|begin_of_text|>', 'Ġé»Ħ']",2,East Asia
CN,7.0,7,CN-7,黃,Wong,33700000.0,, 黃,"['<|begin_of_text|>', 'Ġé»', 'ĥ']",3,East Asia
JP,7.0,7,JP-7,中村,Nakamura,1080000.0,0.0085, 中村,"['<|begin_of_text|>', 'Ġä¸Ń', 'æĿĳ']",3,East Asia
KR,7.0,7,KR-7,조,Cho,,, 조,"['<|begin_of_text|>', 'Ġì¡°']",2,East Asia
CN,8.0,8,CN-8,赵,Zhào,28600000.0,, 赵,"['<|begin_of_text|>', 'Ġèµ', 'µ']",3,East Asia
CN,8.0,8,CN-8,趙,Chiu,28600000.0,, 趙,"['<|begin_of_text|>', 'Ġè¶', 'Ļ']",3,East Asia
JP,8.0,8,JP-8,小林,Kobayashi,1060000.0,0.0084, 小林,"['<|begin_of_text|>', 'Ġå°ı', 'æŀĹ']",3,East Asia
KR,8.0,8,KR-8,윤,Yoon,,, 윤,"['<|begin_of_text|>', 'Ġìľ¤']",2,East Asia
KR,8.0,8,KR-8,尹,Yun,,, 尹,"['<|begin_of_text|>', 'Ġå°', '¹']",3,East Asia
CN,9.0,9,CN-9,吴,Wú,27800000.0,, 吴,"['<|begin_of_text|>', 'ĠåĲ', '´']",3,East Asia
RU,1.0,1,RU-1,Смирно́в,Smirnov,2308740.0,0.0161, Смирно́в,"['<|begin_of_text|>', 'ĠÐ¡', 'Ð¼Ð¸ÑĢ', 'Ð½Ð¾', 'Ìģ', 'Ð²']",6,Eastern Europe
BY,1.0,1,BY-1,Иванов,Ivanoŭ,7000.0,, Иванов,"['<|begin_of_text|>', 'ĠÐĺÐ²Ð°Ð½Ð¾Ð²']",2,Eastern Europe
BY,1.0,1,BY-1,Іваноў,,7000.0,, Іваноў,"['<|begin_of_text|>', 'ĠÐĨÐ²Ð°Ð½', 'Ð¾', 'Ñŀ']",4,Eastern Europe
BG,1.0,1,BG-1,Иванова,Ivanova,277308.0,, Иванова,"['<|begin_of_text|>', 'ĠÐĺ', 'Ð²Ð°Ð½', 'Ð¾Ð²Ð°']",4,Eastern Europe
CZ,1.0,1,CZ-1,Novák,Novák,69726.0,, Novák,"['<|begin_of_text|>', 'ĠNov', 'Ã¡k']",3,Eastern Europe
CZ,1.0,1,CZ-1,Nováková,Nováková,69726.0,, Nováková,"['<|begin_of_text|>', 'ĠNovÃ¡', 'kovÃ¡']",3,Eastern Europe
HU,1.0,1,HU-1,Nagy,Nagy,,, Nagy,"['<|begin_of_text|>', 'ĠNag', 'y']",3,Eastern Europe
MD,1.0,1,MD-1,Rusu,Rusu,66781.0,, Rusu,"['<|begin_of_text|>', 'ĠRus', 'u']",3,Eastern Europe
PL,1.0,1,PL-1,Nowak,Nowak,207348.0,, Nowak,"['<|begin_of_text|>', 'ĠNow', 'ak']",3,Eastern Europe
UA,1.0,1,UA-1,Melnyk,Melnyk,,, Melnyk,"['<|begin_of_text|>', 'ĠMel', 'ny', 'k']",4,Eastern Europe
RU,2.0,2,RU-2,Ивано́в,Ivanov,1864200.0,0.013, Ивано́в,"['<|begin_of_text|>', 'ĠÐĺ', 'Ð²Ð°Ð½Ð¾', 'Ìģ', 'Ð²']",5,Eastern Europe
BY,2.0,2,BY-2,Козлов,Kazloŭ,4700.0,, Козлов,"['<|begin_of_text|>', 'ĠÐļ', 'Ð¾Ð·', 'Ð»Ð¾Ð²']",4,Eastern Europe
BY,2.0,2,BY-2,Казлоў,,4700.0,, Казлоў,"['<|begin_of_text|>', 'ĠÐļÐ°Ð·', 'Ð»Ð¾', 'Ñŀ']",4,Eastern Europe
BG,2.0,2,BG-2,Георгиев,Georgiev,213511.0,, Георгиев,"['<|begin_of_text|>', 'ĠÐĵÐµ', 'Ð¾ÑĢ', 'Ð³Ð¸', 'ÐµÐ²']",5,Eastern Europe
BG,2.0,2,BG-2,Георгиева,Georgieva,213511.0,, Георгиева,"['<|begin_of_text|>', 'ĠÐĵÐµ', 'Ð¾ÑĢ', 'Ð³Ð¸', 'ÐµÐ²Ð°']",5,Eastern Europe
CZ,2.0,2,CZ-2,Svoboda,Svoboda,51861.0,, Svoboda,"['<|begin_of_text|>', 'ĠSv', 'ob', 'oda']",4,Eastern Europe
CZ,2.0,2,CZ-2,Svobodová,Svobodová,51861.0,, Svobodová,"['<|begin_of_text|>', 'ĠSv', 'ob', 'od', 'ovÃ¡']",5,Eastern Europe
HU,2.0,2,HU-2,Kovács,Kovács,,, Kovács,"['<|begin_of_text|>', 'ĠKov', 'Ã¡', 'cs']",4,Eastern Europe
MD,2.0,2,MD-2,Ceban,Ceban,60694.0,, Ceban,"['<|begin_of_text|>', 'ĠC', 'eb', 'an']",4,Eastern Europe
PL,2.0,2,PL-2,Kowalski,Kowalski,140471.0,, Kowalski,"['<|begin_of_text|>', 'ĠK', 'ow', 'als', 'ki']",5,Eastern Europe
RO,2.0,2,RO-2,Popescu,Popescu,,, Popescu,"['<|begin_of_text|>', 'ĠPop', 'esc', 'u']",4,Eastern Europe
RS,2.0,2,RS-2,Петровић,Petrović,,, Петровић,"['<|begin_of_text|>', 'ĠÐŁÐµÑĤ', 'ÑĢÐ¾Ð²', 'Ð¸', 'ÑĽ']",5,Eastern Europe
SK,2.0,2,SK-2,Kováč,Kováč,29079.0,, Kováč,"['<|begin_of_text|>', 'ĠKov', 'Ã¡Äį']",3,Eastern Europe
UA,2.0,2,UA-2,Shevchenko,Shevchenko,,, Shevchenko,"['<|begin_of_text|>', 'ĠShe', 'v', 'chen', 'ko']",5,Eastern Europe
BY,3.0,3,BY-3,Ковалёв,Kavalioŭ,4300.0,, Ковалёв,"['<|begin_of_text|>', 'ĠÐļ', 'Ð¾Ð²Ð°Ð»', 'Ñĳ', 'Ð²']",5,Eastern Europe
BY,3.0,3,BY-3,Кавалёў,,4300.0,, Кавалёў,"['<|begin_of_text|>', 'ĠÐļ', 'Ð°Ð²', 'Ð°Ð»', 'Ñĳ', 'Ñŀ']",6,Eastern Europe
BG,3.0,3,BG-3,Димитров,Dimitrov,205774.0,, Димитров,"['<|begin_of_text|>', 'ĠÐĶ', 'Ð¸Ð¼', 'Ð¸ÑĤ', 'ÑĢÐ¾Ð²']",5,Eastern Europe
BG,3.0,3,BG-3,Димитрова,Dimitrova,205774.0,, Димитрова,"['<|begin_of_text|>', 'ĠÐĶ', 'Ð¸Ð¼', 'Ð¸ÑĤ', 'ÑĢÐ¾Ð²Ð°']",5,Eastern Europe
CZ,3.0,3,CZ-3,Novotný,Novotný,49648.0,, Novotný,"['<|begin_of_text|>', 'ĠNov', 'ot', 'nÃ½']",4,Eastern Europe
CZ,3.0,3,CZ-3,Novotná,Novotná,49648.0,, Novotná,"['<|begin_of_text|>', 'ĠNov', 'ot', 'nÃ¡']",4,Eastern Europe
HU,3.0,3,HU-3,Tóth,Tóth,,, Tóth,"['<|begin_of_text|>', 'ĠT', 'Ã³', 'th']",4,Eastern Europe
MD,3.0,3,MD-3,Ciobanu,Ciobanu,49784.0,, Ciobanu,"['<|begin_of_text|>', 'ĠCi', 'ob', 'an', 'u']",5,Eastern Europe
PL,3.0,3,PL-3,Wiśniewski,Wiśniewski,111174.0,, Wiśniewski,"['<|begin_of_text|>', 'ĠWi', 'ÅĽ', 'n', 'iew', 'ski']",6,Eastern Europe
RO,3.0,3,RO-3,Pop,Pop,,, Pop,"['<|begin_of_text|>', 'ĠPop']",2,Eastern Europe
RS,3.0,3,RS-3,Николић,Nikolić,,, Николић,"['<|begin_of_text|>', 'ĠÐĿÐ¸Ðº', 'Ð¾Ð»Ð¸', 'ÑĽ']",4,Eastern Europe
UA,3.0,3,UA-3,Boyko,Boyko,,, Boyko,"['<|begin_of_text|>', 'ĠBoy', 'ko']",3,Eastern Europe
RU,4.0,4,RU-4,Попо́в,Popov,1132860.0,0.0079, Попо́в,"['<|begin_of_text|>', 'ĠÐŁÐ¾Ð¿', 'Ð¾', 'Ìģ', 'Ð²']",5,Eastern Europe
BY,4.0,4,BY-4,Козловский,Kazloŭski,3900.0,, Козловский,"['<|begin_of_text|>', 'ĠÐļ', 'Ð¾Ð·', 'Ð»Ð¾Ð²', 'ÑģÐºÐ¸Ð¹']",5,Eastern Europe
IL,1.0,1,IL-1,כהן,Cohen,180725.0,0.0193, כהן,"['<|begin_of_text|>', 'Ġ×', 'Ľ', '×Ķ', '×', 'Ł']",6,Middle East
TR,1.0,1,TR-1,Yılmaz,Yılmaz,,, Yılmaz,"['<|begin_of_text|>', 'ĠY', 'Ä±', 'lm', 'az']",5,Middle East
TR,2.0,2,TR-2,Kaya,Kaya,,, Kaya,"['<|begin_of_text|>', 'ĠK', 'aya']",3,Middle East
IL,2.0,2,IL-2,לוי,Levi,104876.0,0.0112, לוי,"['<|begin_of_text|>', 'Ġ×ľ', '×ķ', '×Ļ']",4,Middle East
TR,3.0,3,TR-3,Demir,Demir,,, Demir,"['<|begin_of_text|>', 'ĠDemir']",2,Middle East
TR,4.0,4,TR-4,Şahin,Şahin,,, Şahin,"['<|begin_of_text|>', 'ĠÅŀah', 'in']",3,Middle East
IL,4.0,4,IL-4,פרץ,Peretz,29964.0,0.0032, פרץ,"['<|begin_of_text|>', 'Ġ×', '¤', '×¨', '×', '¥']",6,Middle East
TR,5.0,5,TR-5,Çelik,Çelik,,, Çelik,"['<|begin_of_text|>', 'ĠÃĩ', 'elik']",3,Middle East
IL,5.0,5,IL-5,ביטון,Biton,28092.0,0.003, ביטון,"['<|begin_of_text|>', 'Ġ×ĳ', '×Ļ×', 'ĺ', '×ķ×', 'Ł']",6,Middle East
TR,6.0,6,TR-6,Yıldız,Yıldız,,, Yıldız,"['<|begin_of_text|>', 'ĠY', 'Ä±', 'ld', 'Ä±z']",5,Middle East
IL,6.0,6,IL-6,דהן,Dahan,21537.0,0.0023, דהן,"['<|begin_of_text|>', 'Ġ×', 'ĵ', '×Ķ', '×', 'Ł']",6,Middle East
TR,7.0,7,TR-7,Yıldırım,Yıldırım,,, Yıldırım,"['<|begin_of_text|>', 'ĠY', 'Ä±', 'ld', 'Ä±r', 'Ä±m']",6,Middle East
TR,8.0,8,TR-8,Öztürk,Öztürk,,, Öztürk,"['<|begin_of_text|>', 'ĠÃĸ', 'zt', 'Ã¼rk']",4,Middle East
TR,9.0,9,TR-9,Aydın,Aydın,,, Aydın,"['<|begin_of_text|>', 'ĠAydÄ±n']",2,Middle East
IL,9.0,9,IL-9,מלכה,Malka,17791.0,0.0019, מלכה,"['<|begin_of_text|>', 'Ġ×ŀ', '×ľ', '×', 'Ľ', '×Ķ']",6,Middle East
TR,10.0,10,TR-10,Özdemir,Özdemir,,, Özdemir,"['<|begin_of_text|>', 'ĠÃĸz', 'dem', 'ir']",4,Middle East
TR,11.0,11,TR-11,Arslan,Arslan,,, Arslan,"['<|begin_of_text|>', 'ĠAr', 'sl', 'an']",4,Middle East
IL,11.0,11,IL-11,כץ,Katz,17791.0,0.0019, כץ,"['<|begin_of_text|>', 'Ġ×', 'Ľ', '×', '¥']",5,Middle East
TR,12.0,12,TR-12,Doğan,Doğan,,, Doğan,"['<|begin_of_text|>', 'ĠDoÄŁ', 'an']",3,Middle East
TR,13.0,13,TR-13,Kılıç,Kılıç,,, Kılıç,"['<|begin_of_text|>', 'ĠK', 'Ä±lÄ±Ã§']",3,Middle East
IL,13.0,13,IL-13,דוד,David,15918.0,0.0017, דוד,"['<|begin_of_text|>', 'Ġ×', 'ĵ', '×ķ×', 'ĵ']",5,Middle East
TR,14.0,14,TR-14,Aslan,Aslan,,, Aslan,"['<|begin_of_text|>', 'ĠAs', 'lan']",3,Middle East
IL,14.0,14,IL-14,עמר,Amar,15918.0,0.0017, עמר,"['<|begin_of_text|>', 'Ġ×', '¢', '×ŀ', '×¨']",5,Middle East
TR,15.0,15,TR-15,Çetin,Çetin,,, Çetin,"['<|begin_of_text|>', 'ĠÃĩ', 'etin']",3,Middle East
IL,16.0,16,IL-16,חדד,Hadad,14982.0,0.0016, חדד,"['<|begin_of_text|>', 'Ġ×', 'Ĺ', '×ĵ', '×ĵ']",5,Middle East
TR,16.0,16,TR-16,Kara,Kara,,, Kara,"['<|begin_of_text|>', 'ĠKara']",2,Middle East
TR,17.0,17,TR-17,Koç,Koç,,, Koç,"['<|begin_of_text|>', 'ĠKo', 'Ã§']",3,Middle East
IL,17.0,17,IL-17,גבאי,Gabai,14982.0,0.0016, גבאי,"['<|begin_of_text|>', 'Ġ×', 'Ĵ', '×ĳ', '×Ĳ', '×Ļ']",6,Middle East
TR,18.0,18,TR-18,Kurt,Kurt,,, Kurt,"['<|begin_of_text|>', 'ĠKurt']",2,Middle East
IL,19.0,19,IL-19,אדרי,Adrei,13109.0,0.0014, אדרי,"['<|begin_of_text|>', 'Ġ×Ĳ', '×ĵ', '×¨', '×Ļ']",5,Middle East
TR,19.0,19,TR-19,Özkan,Özkan,,, Özkan,"['<|begin_of_text|>', 'ĠÃĸz', 'kan']",3,Middle East
TR,20.0,20,TR-20,Şimşek,Şimşek,,, Şimşek,"['<|begin_of_text|>', 'ĠÅŀ', 'im', 'ÅŁ', 'ek']",5,Middle East
IL,20.0,20,IL-20,לוין,Levin,13109.0,0.0014, לוין,"['<|begin_of_text|>', 'Ġ×ľ', '×ķ', '×Ļ×', 'Ł']",5,Middle East
IL,21.0,21,IL-21,טל,Tal,12173.0,0.0013, טל,"['<|begin_of_text|>', 'Ġ×', 'ĺ', '×ľ']",4,Middle East
IL,23.0,23,IL-23,חן,Chen,12173.0,0.0013, חן,"['<|begin_of_text|>', 'Ġ×', 'Ĺ', '×', 'Ł']",5,Middle East
IL,26.0,26,IL-26,משה,Moshe,12173.0,0.0013, משה,"['<|begin_of_text|>', 'Ġ×ŀ', '×©', '×Ķ']",4,Middle East
IL,28.0,28,IL-28,אוחנה,Ohana,11236.0,0.0012, אוחנה,"['<|begin_of_text|>', 'Ġ×Ĳ', '×ķ×', 'Ĺ', '×ł', '×Ķ']",6,Middle East
IL,29.0,29,IL-29,סגל,Segal,11236.0,0.0012, סגל,"['<|begin_of_text|>', 'Ġ×', '¡', '×', 'Ĵ', '×ľ']",6,Middle East
CA,1.0,1,CA-1,Smith,Smith,192145.0,, Smith,"['<|begin_of_text|>', 'ĠSmith']",2,North America
CR,1.0,1,CR-1,Hernández,Hernández,,, Hernández,"['<|begin_of_text|>', 'ĠHern', 'Ã¡ndez']",3,North America
CA,2.0,2,CA-2,Brown,Brown,108859.0,, Brown,"['<|begin_of_text|>', 'ĠBrown']",2,North America
CR,2.0,2,CR-2,Mora,Mora,,, Mora,"['<|begin_of_text|>', 'ĠM', 'ora']",3,North America
CA,3.0,3,CA-3,Tremblay,Tremblay,106668.0,, Tremblay,"['<|begin_of_text|>', 'ĠTrem', 'bl', 'ay']",4,North America
CR,3.0,3,CR-3,Rodríguez,Rodríguez,,, Rodríguez,"['<|begin_of_text|>', 'ĠRodr', 'ÃŃg', 'uez']",4,North America
CU,3.0,3,CU-3,Martinez,Martinez,141259.0,, Martinez,"['<|begin_of_text|>', 'ĠMartinez']",2,North America
US,3.0,3,US-3,Williams,Williams,1534042.0,, Williams,"['<|begin_of_text|>', 'ĠWilliams']",2,North America
CA,4.0,4,CA-4,Martin,Martin,91680.0,, Martin,"['<|begin_of_text|>', 'ĠMartin']",2,North America
CR,4.0,4,CR-4,González,González,,, González,"['<|begin_of_text|>', 'ĠGonz', 'Ã¡lez']",3,North America
CU,4.0,4,CU-4,García,García,137124.0,, García,"['<|begin_of_text|>', 'ĠGarcÃŃa']",2,North America
CA,5.0,5,CA-5,Roy,Roy,90417.0,, Roy,"['<|begin_of_text|>', 'ĠRoy']",2,North America
CR,5.0,5,CR-5,Jiménez,Jiménez,,, Jiménez,"['<|begin_of_text|>', 'ĠJim', 'Ã©', 'nez']",4,North America
CU,5.0,5,CU-5,Reyes,Reyes,104892.0,, Reyes,"['<|begin_of_text|>', 'ĠReyes']",2,North America
US,5.0,5,US-5,Jones,Jones,1362755.0,, Jones,"['<|begin_of_text|>', 'ĠJones']",2,North America
CA,6.0,6,CA-6,Gagnon,Gagnon,85120.0,, Gagnon,"['<|begin_of_text|>', 'ĠG', 'agn', 'on']",4,North America
CR,6.0,6,CR-6,Morales,Morales,,, Morales,"['<|begin_of_text|>', 'ĠMorales']",2,North America
US,6.0,6,US-6,Miller,Miller,1127803.0,, Miller,"['<|begin_of_text|>', 'ĠMiller']",2,North America
CA,7.0,7,CA-7,Lee,Lee,83424.0,, Lee,"['<|begin_of_text|>', 'ĠLee']",2,North America
CR,7.0,7,CR-7,Sánchez,Sánchez,,, Sánchez,"['<|begin_of_text|>', 'ĠS', 'Ã¡nchez']",3,North America
CU,7.0,7,CU-7,Díaz,Díaz,95106.0,, Díaz,"['<|begin_of_text|>', 'ĠD', 'ÃŃ', 'az']",4,North America
US,7.0,7,US-7,Davis,Davis,1072335.0,, Davis,"['<|begin_of_text|>', 'ĠDavis']",2,North America
CA,8.0,8,CA-8,Wilson,Wilson,82768.0,, Wilson,"['<|begin_of_text|>', 'ĠWilson']",2,North America
CR,8.0,8,CR-8,Ramírez,Ramírez,,, Ramírez,"['<|begin_of_text|>', 'ĠRam', 'ÃŃ', 'rez']",4,North America
CU,8.0,8,CU-8,Peña,Peña,94396.0,, Peña,"['<|begin_of_text|>', 'ĠPe', 'Ã±a']",3,North America
GT,8.0,8,GT-8,De León,De León,134010.0,, De León,"['<|begin_of_text|>', 'ĠDe', 'ĠLe', 'Ã³n']",4,North America
US,8.0,8,US-8,Garcia,Garcia,858289.0,, Garcia,"['<|begin_of_text|>', 'ĠGarcia']",2,North America
CA,9.0,9,CA-9,Johnson,Johnson,79492.0,, Johnson,"['<|begin_of_text|>', 'ĠJohnson']",2,North America
CR,9.0,9,CR-9,Pérez,Pérez,,, Pérez,"['<|begin_of_text|>', 'ĠPÃ©', 'rez']",3,North America
US,9.0,9,US-9,Rodriguez,Rodriguez,804240.0,, Rodriguez,"['<|begin_of_text|>', 'ĠRodriguez']",2,North America
CA,10.0,10,CA-10,MacDonald,MacDonald,78766.0,, MacDonald,"['<|begin_of_text|>', 'ĠMacDonald']",2,North America
CR,10.0,10,CR-10,Calderón,Calderón,,, Calderón,"['<|begin_of_text|>', 'ĠCalder', 'Ã³n']",3,North America
GT,10.0,10,GT-10,Martínez,Martínez,123186.0,, Martínez,"['<|begin_of_text|>', 'ĠMart', 'ÃŃ', 'nez']",4,North America
